input,output
create a button,"[{""attributes"":{},""name"":""gutenverse/button""}]"
create a button wth text buy now,"[{""attributes"":{""content"":""Buy Now""},""name"":""gutenverse/button""}]"
create a button wth text buy now with button alignment is left,"[{""attributes"":{""content"":""Buy Now"",""paddingButton"":{""Desktop"":{}},""alignButton"":{""Desktop"":""left""}},""name"":""gutenverse/button""}]"
create a button wth text buy now with button alignment is center,"[{""attributes"":{""content"":""Buy Now"",""paddingButton"":{""Desktop"":{}},""alignButton"":{""Desktop"":""center""}},""name"":""gutenverse/button""}]"
create a button wth text buy now with button alignment is right,"[{""attributes"":{""content"":""Buy Now"",""paddingButton"":{""Desktop"":{}},""alignButton"":{""Desktop"":""right""}},""name"":""gutenverse/button""}]"
create a button wth text buy now with button alignment is right and center for tablet,"[{""attributes"":{""content"":""Buy Now"",""paddingButton"":{""Desktop"":{},""Tablet"":{}},""alignButton"":{""Desktop"":""right"",""Tablet"":""center""}},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile","[{""attributes"":{""content"":""Buy Now"",""paddingButton"":{""Desktop"":{},""Tablet"":{}},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""}},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link","[{""attributes"":{""content"":""Buy Now"",""paddingButton"":{""Desktop"":{},""Tablet"":{}},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""}},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a submit","[{""attributes"":{""role"":""submit"",""content"":""Buy Now"",""paddingButton"":{""Desktop"":{},""Tablet"":{}},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""}},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now","[{""attributes"":{""content"":""Buy Now"",""paddingButton"":{""Desktop"":{},""Tablet"":{}},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""ariaLabel"":""Buy Now""},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a default","[{""attributes"":{""content"":""Buy Now"",""paddingButton"":{""Desktop"":{},""Tablet"":{}},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""ariaLabel"":""Buy Now""},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a info","[{""attributes"":{""buttonType"":""info"",""content"":""Buy Now"",""paddingButton"":{""Desktop"":{},""Tablet"":{}},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""ariaLabel"":""Buy Now""},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a success","[{""attributes"":{""buttonType"":""success"",""content"":""Buy Now"",""paddingButton"":{""Desktop"":{},""Tablet"":{}},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""ariaLabel"":""Buy Now""},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a warning","[{""attributes"":{""buttonType"":""warning"",""content"":""Buy Now"",""paddingButton"":{""Desktop"":{},""Tablet"":{}},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""ariaLabel"":""Buy Now""},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger","[{""attributes"":{""buttonType"":""danger"",""content"":""Buy Now"",""paddingButton"":{""Desktop"":{},""Tablet"":{}},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""ariaLabel"":""Buy Now""},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. set width to 50%","[{""attributes"":{""buttonType"":""danger"",""content"":""Buy Now"",""paddingButton"":{""Desktop"":{},""Tablet"":{},""Mobile"":{}},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""ariaLabel"":""Buy Now"",""buttonWidth"":{""Desktop"":""50""}},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. set width to 50% and for mobile is 30%","[{""attributes"":{""buttonType"":""danger"",""content"":""Buy Now"",""paddingButton"":{""Desktop"":{},""Tablet"":{},""Mobile"":{}},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""ariaLabel"":""Buy Now"",""buttonWidth"":{""Desktop"":""50"",""Mobile"":""30""}},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. set width to 50% and for mobile is 30%. show the icon,","[{""attributes"":{""buttonType"":""danger"",""showIcon"":true,""content"":""Buy Now"",""paddingButton"":{""Desktop"":{},""Tablet"":{},""Mobile"":{}},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""ariaLabel"":""Buy Now"",""buttonWidth"":{""Desktop"":""50"",""Mobile"":""30""}},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. set width to 50% and for mobile is 30%. show the icon with position before the text","[{""attributes"":{""buttonType"":""danger"",""showIcon"":true,""content"":""Buy Now"",""paddingButton"":{""Desktop"":{},""Tablet"":{},""Mobile"":{}},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""ariaLabel"":""Buy Now"",""buttonWidth"":{""Desktop"":""50"",""Mobile"":""30""}},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. set width to 50% and for mobile is 30%. show the icon with position after the text","[{""attributes"":{""buttonType"":""danger"",""showIcon"":true,""iconPosition"":""after"",""content"":""Buy Now"",""paddingButton"":{""Desktop"":{},""Tablet"":{},""Mobile"":{}},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""ariaLabel"":""Buy Now"",""buttonWidth"":{""Desktop"":""50"",""Mobile"":""30""}},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. set width to 50% and for mobile is 30%. show the icon with position after the text. icon spacing is 20px","[{""attributes"":{""buttonType"":""danger"",""showIcon"":true,""iconPosition"":""after"",""content"":""Buy Now"",""paddingButton"":{""Desktop"":{},""Tablet"":{},""Mobile"":{}},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""ariaLabel"":""Buy Now"",""buttonWidth"":{""Desktop"":""50"",""Mobile"":""30""},""iconSpacing"":{""Desktop"":""20""}},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. set width to 50% and for mobile is 30%. show the icon with position after the text. icon spacing is 20px and 10px for tablet and mobile","[{""attributes"":{""content"":""Buy Now"",""buttonType"":""danger"",""buttonWidth"":{""Desktop"":""50"",""Mobile"":""30""},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""paddingButton"":{""Desktop"":{},""Tablet"":{},""Mobile"":{}},""showIcon"":true,""iconPosition"":""after"",""iconSpacing"":{""Desktop"":""20"",""Tablet"":""10""},""ariaLabel"":""Buy Now""},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. set width to 50% and for mobile is 30%. show the icon with position after the text. icon spacing is 20px and 10px for tablet and mobile. Set height to 100px","[{""attributes"":{""content"":""Buy Now"",""buttonType"":""danger"",""buttonWidth"":{""Desktop"":""50"",""Mobile"":""30""},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""paddingButton"":{""Desktop"":{},""Tablet"":{},""Mobile"":{}},""showIcon"":true,""iconPosition"":""after"",""iconSpacing"":{""Desktop"":""20"",""Tablet"":""10""},""ariaLabel"":""Buy Now"",""buttonHeight"":{""Desktop"":""100""}},""name"":""gutenverse/button""}]"
"create a button wth text buy now with button alignment is right, center for tablet, and left for mobile, then for button role is a link with aria label is buy now. for type of button is a danger. set width to 50% and for mobile is 30%. show the icon with position after the text. icon spacing is 20px and 10px for tablet and mobile. Set height to 100px, tablet 50px and mobile is 80px","[{""attributes"":{""content"":""Buy Now"",""buttonType"":""danger"",""buttonWidth"":{""Desktop"":""50"",""Mobile"":""30""},""alignButton"":{""Desktop"":""right"",""Tablet"":""center"",""Mobile"":""left""},""paddingButton"":{""Desktop"":{},""Tablet"":{},""Mobile"":{}},""showIcon"":true,""iconPosition"":""after"",""iconSpacing"":{""Desktop"":""20"",""Tablet"":""10""},""ariaLabel"":""Buy Now"",""buttonHeight"":{""Desktop"":""100"",""Tablet"":""50"",""Mobile"":""80""},""iconSize"":{""Tablet"":{""point"":"""",""unit"":""px""}}},""name"":""gutenverse/button""}]"
